,City,Lat,Lon,Temp,Wind Speed,Cloud,Humidity,Date
0,Touros,-5.2,-35.46,300.15,5.7,20,78,2019-12-02
1,Punta Arenas,-53.16,-70.91,288.15,9.3,75,58,2019-12-02
2,Ancud,-41.87,-73.83,288.15,7.7,75,58,2019-12-02
3,Hermanus,-34.42,19.24,288.15,3.58,69,81,2019-12-02
4,Vaini,15.34,74.49,291.79,5.43,100,94,2019-12-02
5,Esperance,-33.86,121.89,287.15,4.1,96,93,2019-12-02
6,Mnogovershinnyy,53.94,139.92,267.32,9.07,100,96,2019-12-02
7,Rikitea,-23.12,-134.97,298.01,5.31,88,80,2019-12-02
8,Katsuura,33.93,134.5,281.35,4.6,40,67,2019-12-02
9,Ushuaia,-54.81,-68.31,285.15,1.5,40,62,2019-12-02
10,Paita,-5.09,-81.11,290.15,4.6,40,100,2019-12-02
11,Bangassou,4.74,22.82,293.44,1.15,2,89,2019-12-02
12,Lipari,38.47,14.95,290.53,3.1,40,88,2019-12-02
13,Rincon,8.46,-82.28,297.35,5.1,20,74,2019-12-02
14,Mapiripan,2.89,-72.13,297.36,1.17,100,88,2019-12-02
15,Bethel,60.79,-161.76,259.4,2.1,40,84,2019-12-02
16,Parfenyevo,58.48,43.41,268.83,4.1,100,85,2019-12-02
17,Alekseyevsk,57.84,108.35,239.12,0.76,0,94,2019-12-02
18,Cape Town,-33.93,18.42,289.17,6.2,75,72,2019-12-02
19,Vuktyl,63.86,57.31,258.18,3.77,51,94,2019-12-02
20,Bluff,-23.58,149.07,302.65,3.82,15,25,2019-12-02
21,Riviere-au-Renard,49.0,-64.4,264.15,1.5,5,85,2019-12-02
22,Vila Velha,-3.71,-38.6,301.28,4.1,20,78,2019-12-02
23,Hofn,64.25,-15.21,283.09,18.22,100,92,2019-12-02
24,Genhe,50.78,121.52,243.64,5.5,100,88,2019-12-02
25,Juquitiba,-23.93,-47.07,289.51,5.7,90,87,2019-12-02
26,Kaitangata,-46.28,169.85,288.73,5.84,36,73,2019-12-02
27,Causapscal,48.35,-67.23,262.84,1.4,4,89,2019-12-02
28,Sayyan,15.17,44.32,282.0,0.98,78,48,2019-12-02
29,Bonnyville,54.27,-110.74,271.15,3.6,75,68,2019-12-02
30,Maracaju,-21.61,-55.17,298.71,2.77,28,73,2019-12-02
31,Port Alfred,-33.59,26.89,293.15,2.68,100,86,2019-12-02
32,Saskylakh,71.97,114.09,242.26,3.03,100,96,2019-12-02
33,Grakhovo,56.05,51.96,262.15,6.0,5,85,2019-12-02
34,Kapaa,22.08,-159.32,298.98,5.7,75,74,2019-12-02
35,Ponta do Sol,-20.63,-46.0,293.43,2.42,95,91,2019-12-02
36,Emilio Carranza,19.97,-96.61,294.23,8.59,77,76,2019-12-02
37,Butaritari,3.07,172.79,302.21,5.4,60,78,2019-12-02
38,Albany,42.65,-73.75,271.32,4.1,90,86,2019-12-02
39,Busselton,-33.64,115.35,290.93,1.34,0,65,2019-12-02
40,Buriti Bravo,-5.84,-43.84,301.07,1.36,62,57,2019-12-02
41,Bethanien,-26.5,17.16,290.36,4.09,98,25,2019-12-02
42,Avarua,-21.21,-159.78,299.15,2.6,100,78,2019-12-02
43,Lufkin,31.34,-94.73,286.71,3.1,1,33,2019-12-02
44,Makakilo City,21.35,-158.09,299.42,3.1,1,58,2019-12-02
45,Sisimiut,66.94,-53.67,262.48,5.79,100,85,2019-12-02
46,Tacna,-18.01,-70.25,294.15,5.1,90,68,2019-12-02
47,Dingle,11.0,122.67,296.95,4.39,100,91,2019-12-02
48,Mar del Plata,-46.43,-67.52,287.79,9.4,48,62,2019-12-02
49,Broome,52.47,1.45,274.03,2.6,7,93,2019-12-02
50,Saint-Philippe,45.36,-73.48,269.01,4.6,20,67,2019-12-02
51,Wukari,7.87,9.78,297.05,1.1,91,28,2019-12-02
52,Salalah,17.01,54.1,296.15,2.1,20,69,2019-12-02
53,Lebu,8.96,38.73,286.15,5.1,40,71,2019-12-02
54,Khatanga,71.98,102.47,240.79,3.21,0,84,2019-12-02
55,Codajas,-3.84,-62.06,306.64,1.67,85,46,2019-12-02
56,Fairbanks,64.84,-147.72,263.34,1.5,90,72,2019-12-02
57,Jiangyou,31.78,104.73,272.75,1.06,48,83,2019-12-02
58,Hithadhoo,-0.6,73.08,301.35,6.18,15,78,2019-12-02
59,Heiloo,52.6,4.71,280.87,3.6,75,87,2019-12-02
60,Lavrentiya,65.58,-170.99,265.76,3.96,26,76,2019-12-02
61,Mataura,-46.19,168.86,288.71,2.68,61,90,2019-12-02
62,Jamestown,-33.21,138.6,288.97,6.26,93,61,2019-12-02
63,Hasaki,35.73,140.83,281.51,0.5,75,100,2019-12-02
64,Yellowknife,62.45,-114.38,261.02,4.6,75,85,2019-12-02
65,Mount Isa,-20.73,139.49,299.15,6.7,34,31,2019-12-02
66,Ilulissat,69.22,-51.1,266.15,11.3,68,57,2019-12-02
67,Qaanaaq,77.48,-69.36,258.62,2.73,100,59,2019-12-02
68,East London,-33.02,27.91,295.27,11.54,100,60,2019-12-02
69,Ombessa,4.6,11.26,295.15,1.59,78,93,2019-12-02
70,Nikolskoye,59.7,30.79,270.69,4.0,75,86,2019-12-02
71,Hobart,-42.88,147.33,283.35,9.3,40,71,2019-12-02
72,Santa Isabel,32.63,-115.58,292.48,2.1,75,22,2019-12-02
73,Sao Filipe,14.9,-24.5,295.68,6.52,29,77,2019-12-02
74,San Carlos de Bariloche,-41.13,-71.31,288.15,9.8,20,28,2019-12-02
75,Palmer,-34.85,139.16,287.69,8.2,90,77,2019-12-02
76,Yako,12.96,-2.26,298.07,3.56,0,14,2019-12-02
77,Kruisfontein,-34.0,24.73,288.75,8.08,100,74,2019-12-02
78,Newport,51.59,-3.0,275.12,2.6,1,80,2019-12-02
79,Dikson,73.51,80.55,252.93,6.29,90,90,2019-12-02
80,San Patricio,-26.98,-56.83,292.67,4.08,16,52,2019-12-02
81,Looc,10.32,123.95,300.15,3.6,90,83,2019-12-02
82,Atuona,-9.8,-139.03,300.17,3.16,20,60,2019-12-02
